spo,gene,funct,NCBI
SPO3357,SPO3357,"transcriptional regulator, LysR family",SPO_RS17005
SPO3358,SPO3358,serine/threonine protein phosphatase family protein,SPO_RS17010
SPO3359,tdh,L-threonine 3-dehydrogenase,SPO_RS17015
SPO3360,kbl,2-amino-3-ketobutyrate coenzyme A ligase,SPO_RS17020
SPO3361,SPO3361,RmuC domain protein,SPO_RS17025
SPO3362,mutL,DNA mismatch repair protein MutL,SPO_RS17030
SPO3363,sitD,"Manganese ABC transporter, permease protein",SPO_RS17035
SPO3364,sitC,"Manganese ABC transporter, permease protein",SPO_RS17040
SPO3365,sitB,"Manganese ABC transporter, ATP-binding protein",SPO_RS17045
SPO3366,sitA,"Manganese ABC transporter, periplasmic protein",SPO_RS17050
SPO3367,deoC,deoxyribose-phosphate aldolase,SPO_RS17055
SPO3368,SPO3368,aldehyde dehydrogenase family protein,SPO_RS17060
SPO3369,SPO3369,"oxidoreductase, short-chain dehydrogenase/reductase family",SPO_RS17065
SPO3370,SPO3370,"peptidase, M16 family",SPO_RS17070
SPO3371,SPO3371,"peptidase, M16 family",SPO_RS17075
SPO3372,SPO3372,hypothetical protein,SPO_RS17080
SPO3373,lspA,lipoprotein signal peptidase,SPO_RS17085
SPO3374,purH,bifunctional purine biosynthesis protein PurH,SPO_RS17090
SPO3375,SPO3375,hypothetical protein,SPO_RS17095
SPO3376,SPO3376,"ribosomal RNA small subunit methyltransferase B, putative",SPO_RS17100
SPO3377,SPO3377,hypothetical protein,SPO_RS17105
SPO3378,SPO3378,benzoate transporter,SPO_RS17110
SPO3379,SPO3379,"transcriptional regulator, LysR family",SPO_RS17115
SPO3380,SPO3380,"gamma-butyrobetaine hydroxylase, putative",SPO_RS17120
SPO3381,SPO3381,hypothetical protein,SPO_RS17125
SPO3382,SPO3382,aldehyde dehydrogenase family protein,SPO_RS17130
SPO3383,SPO3383,thiol-specific antioxidant protein,SPO_RS17135
SPO3384,SPO3384,"methyltransferase, FkbM family",SPO_RS17140
SPO3385,SPO3385,"glycosyl transferase, family 25",SPO_RS17145
SPO3386,SPO3386,hypothetical protein,SPO_RS17150
SPO3387,SPO3387,hypothetical protein,SPO_RS17155
SPO3388,SPO3388,"transcriptional regulator, TetR family",SPO_RS17160
SPO3389,pnp,polyribonucleotide nucleotidyltransferase,SPO_RS17165
SPO3390,SPO3390,hypothetical protein,SPO_RS17170
SPO3391,SPO3391,"alpha-1,2-fucosyltransferase, putative",SPO_RS17175
SPO3392,rluA,ribosomal large subunit pseudouridine synthase A,SPO_RS17180
SPO3393,SPO3393,hypothetical protein,SPO_RS17185
SPO3394,SPO3394,"GDSL-like lipase/acylhydrolase, putative",SPO_RS17190
SPO3395,rarD-2,RarD,SPO_RS22310
SPO3396,MMGDH,sarcosine dehydrogenase (choline catabolism),SPO_RS17195
SPO3397,SPO3397,"transcriptional regulator, AraC family",SPO_RS17200
SPO3398,BHMT,glycine betaine: homocysteine methyltransferase (choline catabolism),SPO_RS17205
SPO3399,SPO3399,"alcohol dehydrogenase, zinc-containing",SPO_RS17210
SPO3400,DMGDH,dimethylglycine dehydrogenase (choline catabolism),SPO_RS17215
SPO3401,SPO3401,hypothetical protein,SPO_RS17220
SPO3402,SPO3402,"transporter, LysE family",SPO_RS17225
SPO3403,SPO3403,"DNA-binding protein, putative",SPO_RS17230
SPO3404,SPO3404,hypothetical protein,SPO_RS17235
SPO3405,SPO3405,hypothetical protein,SPO_RS17240
SPO3406,SPO3406,"transcriptional regulator, TetR family",SPO_RS17245
SPO3407,SPO3407,hypothetical protein,SPO_RS17250
SPO3408,SPO3408,acetyl-CoA C-acetyltransferase,SPO_RS17255
SPO3409,SPO3409,anti-anti-sigma factor,SPO_RS17260
SPO3410,SPO3410,"anti-sigma B factor, putative",SPO_RS17265
SPO3411,SPO3411,"gamma-glutamyltranspeptidase, putative",SPO_RS17270
SPO3412,SPO3412,hypothetical protein,SPO_RS17275
SPO3413,SPO3413,auxin efflux carrier family protein,SPO_RS17280
SPO3414,SPO3414,"lipoprotein, putative",SPO_RS17285
SPO3415,SPO3415,"outer membrane lipoprotein carrier protein LolA, putative",SPO_RS17290
SPO3416,SPO3416,FtsK/SpoIIIE family protein,SPO_RS17295
SPO3417,SPO3417,"aminotransferase, classes I and II",SPO_RS17300
SPO3418,SPO3418,amidase family protein,SPO_RS17305
SPO3419,SPO3419,"ubiquinone biosynthesis hydroxylase, UbiH/UbiF/VisC/COQ6 family",SPO_RS17310
SPO3420,SPO3420,hypothetical protein,SPO_RS17315
SPO3421,SPO3421,hypothetical protein,SPO_RS17320
SPO3422,SPO3422,ATP-dependent protease La domain protein,SPO_RS17325
SPO3423,SPO3423,thioredoxin,SPO_RS17330
SPO3424,SPO3424,leucine rich repeat protein,SPO_RS22315
SPO3425,SPO3425,"exodeoxyribonuclease III, putative",SPO_RS17340
SPO3426,SPO3426,DNA-binding response regulator,SPO_RS17345
SPO3427,ribBA,"3,4-dihydroxy-2-butanone 4-phosphate synthase/GTP cyclohydrolase II",SPO_RS17350
SPO3428,SPO3428,hypothetical protein,SPO_RS17355
SPO3429,SPO3429,alanine racemase domain protein,SPO_RS17360
SPO3430,SPO3430,outer membrane porin,SPO_RS17365
SPO3431,SPO3431,hypothetical protein,SPO_RS17370
SPO3432,leuS,leucyl-tRNA synthetase,SPO_RS17375
SPO3433,SPO3433,"lipoprotein, putative",SPO_RS17380
SPO3434,SPO3434,hypothetical protein,SPO_RS17385
SPO3435,SPO3435,glutathione S-transferase family protein,SPO_RS17390
SPO3436,SPO3436,hypothetical protein,SPO_RS17395
SPO3437,SPO3437,mechanosensitive ion channel family protein,SPO_RS17400
SPO3438,SPO3438,hypothetical protein,SPO_RS17405
SPO3439,SPO3439,enoyl-CoA hydratase/isomerase family protein,SPO_RS17410
SPO3440,SPO3440,"20-beta-hydroxysteroid dehydrogenase, putative",SPO_RS17415
SPO3441,SPO3441,hypothetical protein,SPO_RS17420
SPO3442,SPO3442,PmbA,SPO_RS17425
SPO3443,SPO3443,inositol monophosphatase family protein,SPO_RS17430
SPO3444,SPO3444,"3-deoxy-D-manno-octulosonic-acid transferase, putative",SPO_RS17435
SPO3445,lpxK,tetraacyldisaccharide 4'-kinase,SPO_RS17440
SPO3446,SPO3446,"thiol:disulfide interchange protein, DsbA family",SPO_RS17445
SPO3447,SPO3447,hypothetical protein,SPO_RS17450
SPO3448,mutY,A/G-specific adenine glycosylase,SPO_RS17455
SPO3449,SPO3449,fatty acid desaturase family protein,SPO_RS17460
SPO3450,SPO3450,adenylate/guanylate cyclase,SPO_RS17465
SPO3451,SPO3451,modification methylase,SPO_RS17470
SPO3452,rnhB,ribonuclease HII,SPO_RS17475
SPO3452a,SPO3452a,hypothetical protein,SPO_RS17480
SPO3453,SPO3453,hypothetical protein,
SPO3454,SPO3454,hypothetical protein,SPO_RS17490
SPO3455,SPO3455,adenylate/guanylate cyclase,SPO_RS17500
SPO3456,SPO3456,"flagellar protein, putative",SPO_RS17505
SPO3457,SPO3457,"flagellin synthesis repressor protein FlbT, putative",SPO_RS17510
SPO3458,SPO3458,"flagellar protein FlaF, putative",SPO_RS17515
SPO3459,SPO3459,flagellin protein,SPO_RS17520
SPO3460,SPO3460,hypothetical protein,SPO_RS17525
SPO3461,SPO3461,"flagellar protein FlgJ, putative",SPO_RS17530
SPO3462,SPO3462,flagellar hook-length control protein,
SPO3463,flgD,basal-body rod modification protein FlgD,SPO_RS17540
SPO3464,SPO3464,hypothetical protein,SPO_RS17545
SPO3465,SPO3465,hypothetical protein,SPO_RS17550
SPO3466,potI,"putrescine ABC transporter, permease protein",SPO_RS17555
SPO3467,potH,"putrescine ABC transporter, permease protein",SPO_RS17560
SPO3468,potG,"putrescine ABC transporter, ATP-binding protein",SPO_RS17565
SPO3469,potF,"putrescine ABC transporter, periplasmic putrescine-binding protein",SPO_RS17570
SPO3470,SPO3470,"transcriptional regulator, GntR family",SPO_RS17575
SPO3471,SPO3471,"aminotransferase, class III",SPO_RS17580
SPO3472,SPO3472,"polyamine ABC transporter, ATP-binding protein",SPO_RS17585
SPO3473,SPO3473,"polyamine ABC transporter, periplasmic polyamine-binding protein",SPO_RS17590
SPO3474,SPO3474,"polyamine ABC transporter, permease protein",SPO_RS17595
SPO3475,SPO3475,"polyamine ABC transporter, permease protein",SPO_RS17600
SPO3476,SPO3476,hypothetical protein,SPO_RS17605
SPO3477,SPO3477,hypothetical protein,SPO_RS17610
SPO3478,glcD,"glycolate oxidase, GlcD subunit",SPO_RS17615
SPO3479,glcE,"glycolate oxidase, GlcE subunit",SPO_RS17620
SPO3480,glcF,"glycolate oxidase, iron-sulfur subunit",SPO_RS17625
SPO3481,SPO3481,hypothetical protein,SPO_RS17630
SPO3482,SPO3482,trypsin domain protein,SPO_RS17635
SPO3483,SPO3483,hypothetical protein,SPO_RS17640
SPO3484,SPO3484,"heat shock protein, Hsp20 family",SPO_RS17645
SPO3485,SPO3485,hypothetical protein,SPO_RS17650
SPO3486,SPO3486,hypothetical protein,SPO_RS17655
SPO3487,SPO3487,hypothetical protein,SPO_RS17660
SPO3488,SPO3488,peptidoglycan binding domain protein,SPO_RS17665
SPO3489,pheT,"phenylalanyl-tRNA synthetase, beta subunit",SPO_RS17670
SPO3490,SPO3490,"transcriptional regulator, LysR family",SPO_RS17675
SPO3491,SPO3491,"methyltransferase, UbiE/COQ5 family",SPO_RS17680
SPO3492,SPO3492,hypothetical protein,SPO_RS17685
SPO3493,SPO3493,"transporter, putative",SPO_RS17690
SPO3494,SPO3494,glutathione S-transferase family protein,SPO_RS17695
SPO3495,mscL,large conductance mechanosensitive channel protein,SPO_RS17700
SPO3496,SPO3496,mechanosensitive ion channel family protein,SPO_RS17705
SPO3498,tuf-2,translation elongation factor Tu,SPO_RS17715
SPO3498a,SPO3498a,hypothetical protein,SPO_RS17720
SPO3499,fusA,translation elongation factor G,SPO_RS17725
SPO3500,rpsG,ribosomal protein S7,SPO_RS17730
SPO3501,rpsL,ribosomal protein S12,SPO_RS17735
SPO3502,SPO3502,hypothetical protein,SPO_RS17740
SPO3503,SPO3503,hypothetical protein,SPO_RS17745
SPO3504,SPO3504,hypothetical protein,SPO_RS17750
SPO3505,SPO3505,hypothetical protein,SPO_RS17755
SPO3506,SPO3506,"DNA-binding protein, putative",SPO_RS17760
SPO3507,rpoC,"DNA-directed RNA polymerase, beta' subunit",SPO_RS17765
SPO3508,rpoB,"DNA-directed RNA polymerase, beta subunit",SPO_RS17770
SPO3509,rplL,ribosomal protein L7/L12,SPO_RS17775
SPO3510,rplJ,ribosomal protein L10,SPO_RS17780
SPO3511,SPO3511,hypothetical protein,SPO_RS17785
SPO3512,SPO3512,hypothetical protein,SPO_RS17790
SPO3513,rplA,ribosomal protein L1,SPO_RS17795
SPO3514,rplK,ribosomal protein L11,SPO_RS17800
SPO3515,SPO3515,hypothetical protein,SPO_RS22320
SPO3516,nusG,transcription termination/antitermination factor NusG,SPO_RS17815
SPO3517,secE,"preprotein translocase, SecE subunit",SPO_RS17820
SPO3518,SPO3518,hypothetical protein,SPO_RS17825
SPO3519,ccoS,"cytochrome oxidase maturation protein, cbb3-type",SPO_RS17830
SPO3520,SPO3520,copper-translocating P-type ATPase,SPO_RS17835
SPO3521,SPO3521,"fixH protein, putative",SPO_RS17840
SPO3522,SPO3522,"iron-sulfur-binding protein, RdxA/RdxB/FixG family",SPO_RS17845
SPO3523,ccoP-1,"cytochrome c oxidase, cbb3-type, subunit III",SPO_RS17850
SPO3524,ccoQ-1,"cytochrome c oxidase, cbb3-type, subunit IV",SPO_RS17855
SPO3525,ccoO-1,"cytochrome c oxidase, cbb3-type, subunit II",SPO_RS17860
SPO3526,ccoN-1,"cytochrome c oxidase, cbb3-type, subunit I",SPO_RS17865
SPO3527,SPO3527,universal stress protein family protein,SPO_RS17870
SPO3528,SPO3528,hypothetical protein,SPO_RS17875
SPO3529,glyA-3,serine hydroxymethyltransferase,SPO_RS17880
SPO3530,SPO3530,"transcriptional regulator, LysR family",SPO_RS17885
SPO3531,fnrL,transcriptional activator protein FnrL,SPO_RS17890
SPO3532,hemN,oxygen-independent coproporphyrinogen III oxidase,SPO_RS17895
SPO3533,SPO3533,"translation elongation factor G, putative",SPO_RS17900
SPO3534,yejF,putative microcin C transport system ATP-binding protein,SPO_RS17905
SPO3535,yejE,putative microcin C transport system permease protein,SPO_RS17910
SPO3536,yejB,putative microcin C transport system permease protein,SPO_RS17915
SPO3537,yejA,putative microcin C transport system substrate-binding protein,SPO_RS17920
SPO3538,cycM,cytochrome c552,SPO_RS17925
SPO3539,SPO3539,prephenate dehydratase,SPO_RS17930
SPO3540,SPO3540,hypothetical protein,SPO_RS17935
SPO3541,SPO3541,"hydrolase, NUDIX family",SPO_RS17940
SPO3542,SPO3542,"2`,3`-cyclic-nucleotide 2`-phosphodiesterase, putative",SPO_RS17945
SPO3543,SPO3543,hypothetical protein,SPO_RS17950
SPO3544,SPO3544,allantoicase,SPO_RS17955
SPO3545,SPO3545,"transcriptional regulator, TetR family",SPO_RS17960
SPO3546,SPO3546,"zinc metallopeptidase, putative",SPO_RS17965
SPO3547,SPO3547,hypothetical protein,SPO_RS17970
SPO3548,SPO3548,hypothetical protein,SPO_RS17975
SPO3549,SPO3549,hypothetical protein,
SPO3550,dnaX,"DNA polymerase III, gamma and tau subunits",SPO_RS17985
SPO3551,SPO3551,"acetyltransferase, GNAT family",SPO_RS17990
SPO3552,SPO3552,"oxidoreductase, FAD-binding protein",SPO_RS17995
SPO3553,SPO3553,hypothetical protein,SPO_RS18000
SPO3554,SPO3554,hypothetical protein,SPO_RS18005
SPO3555,SPO3555,"transglycosylase, Slt family",SPO_RS18010
SPO3556,dapA,dihydrodipicolinate synthase,SPO_RS18015
SPO3557,soeC,Sulfite dehydrogenase subunit SoeC%3B transmembrane sulfate transporter,SPO_RS18020
SPO3558,soeB,Sulfite dehydrogenase iron-sulfur cluster-binding subunit SoeB%3B cytosolic protein,SPO_RS18025
SPO3559,soeA,Sulfite dehydrogenase molybdopterin cofactor-binding subunit SoeA%3B cytosolic protein,SPO_RS18030
SPO3560,pta,phosphate acetyltransferase,SPO_RS18035
SPO3561,xsc,sulfoacetaldehyde acetyltransferase,SPO_RS18040
SPO3562,tauR,Taurine transcriptional regulator,SPO_RS18045
SPO3563,SPO3563,"transcriptional regulator, ArsR family",SPO_RS18050
SPO3564,SPO3564,"permease, putative",SPO_RS18055
SPO3565,SPO3565,hypothetical protein,SPO_RS18060
SPO3566,SPO3566,hypothetical protein,SPO_RS18065
SPO3567,SPO3567,ribonuclease T2 family protein,SPO_RS18070
SPO3568,SPO3568,hypothetical protein,SPO_RS18075
SPO3569,recR,recombination protein RecR,SPO_RS18080
SPO3570,SPO3570,putative protein TIGR00103,SPO_RS18085
SPO3571,SPO3571,"transcriptional regulator, AraC family",SPO_RS18090
SPO3572,SPO3572,isochorismatase family protein,SPO_RS18095
SPO3573,SPO3573,NADPH-dependent FMN reductase domain protein,SPO_RS18100
SPO3574,SPO3574,hypothetical protein,SPO_RS18105
SPO3575,SPO3575,"transcriptional regulator, MerR family",SPO_RS18110
SPO3576,SPO3576,OmpA domain protein,SPO_RS18115
SPO3577,SPO3577,hypothetical protein,SPO_RS18120
SPO3578,SPO3578,ADA regulatory protein,SPO_RS18125
SPO3579,SPO3579,"transcriptional regulator, MarR family",SPO_RS18130
SPO3580,SPO3580,isochorismatase family protein,SPO_RS18135
SPO3581,nth,endonuclease III,SPO_RS18140
SPO3582,SPO3582,"kinase, pfkB family",SPO_RS18145
SPO3583,pecS,transcriptional regulator PecS,SPO_RS18150
SPO3584,SPO3584,"membrane protein, drug/metabolite transporter (DMT) family",SPO_RS18155
SPO3585,rppH nudH,RNA pyrophosphohydrolase (EC 3.6.1.-),SPO_RS18160
SPO3586,fadH,"2,4-dienoyl-CoA reductase",SPO_RS18165
SPO3587,SPO3587,hypothetical protein,SPO_RS18170
SPO3588,SPO3588,hypothetical protein,SPO_RS18175
SPO3589,SPO3589,hypothetical protein,SPO_RS18180
SPO3590,SPO3590,hypothetical protein,SPO_RS18185
SPO3591,SPO3591,auxin efflux carrier family protein,SPO_RS18190
SPO3592,SPO3592,"transcriptional regulator, LysR family",SPO_RS18195
SPO3593,SPO3593,sulfatase family protein,SPO_RS18200
SPO3594,pheS,"phenylalanyl-tRNA synthetase, alpha subunit",SPO_RS18205
SPO3595,SPO3595,"transcriptional regulator, AraC family",SPO_RS18210
SPO3596,SPO3596,pyridoxamine 5'-phosphate oxidase family protein,SPO_RS18215
SPO3597,SPO3597,"amine oxidase, flavin-containing",SPO_RS18220
SPO3598,rplT,ribosomal protein L20,SPO_RS18225
SPO3599,rpmI,ribosomal protein L35,SPO_RS18230
SPO3600,pyk,pyruvate kinase,SPO_RS18240
SPO3601,SPO3601,N-formylglutamate amidohydrolase family protein,SPO_RS18245
SPO3602,SPO3602,hypothetical protein,SPO_RS18250
SPO3603,SPO3603,thioesterase family protein,SPO_RS18255
SPO3604,SPO3604,"D-amino acid aminotransferase, putative",SPO_RS18260
SPO3605,SPO3605,hypothetical protein,SPO_RS18265
SPO3606,SPO3606,mandelate racemase/muconate lactonizing enzyme family protein,SPO_RS18270
SPO3607,SPO3607,hypothetical protein,SPO_RS18275
SPO3608,mclA,malyl-CoA lyase,SPO_RS18280
SPO3609,linC-2,"2,5-dichloro-2,5-cyclohexadiene-1,4-diol dehydrogenase",SPO_RS18290
SPO3610,SPO3610,hypothetical protein,
SPO3611,SPO3611,hypothetical protein,SPO_RS18300
SPO3612,SPO3612,"transcriptional regulator, AsnC family",SPO_RS18305
SPO3613,SPO3613,"transporter, LysE family",SPO_RS18310
SPO3614,SPO3614,hypothetical protein,
SPO3615,SPO3615,"transcriptional regulator, AraC family",SPO_RS18315
SPO3616,accA,"acetyl-CoA carboxylase, carboxyl transferase, alpha subunit",SPO_RS18320
SPO3617,SPO3617,"peptidoglycan-binding protein, putative",SPO_RS18325
SPO3618,SPO3618,"sulfonate ABC transporter, permease protein, putative",SPO_RS18330
SPO3619,SPO3619,"sulfonate ABC transporter, ATP-binding protein",SPO_RS18335
SPO3620,SPO3620,"sulfonate ABC transporter, periplasmic sulfonate-binding protein",SPO_RS18340
SPO3621,SPO3621,"transcriptional regulator, GntR family",SPO_RS18345
SPO3622,SPO3622,hypothetical protein,SPO_RS18350
SPO3623,SPO3623,hypothetical protein,SPO_RS18355
SPO3625,cspA,cold shock protein CspA,SPO_RS18365
SPO3626,gshA,glutamate--cysteine ligase,SPO_RS18370
SPO3627,SPO3627,hypothetical protein,SPO_RS18375
SPO3628,SPO3628,"acetyltransferase, GNAT family",SPO_RS18380
SPO3629,SPO3629,hypothetical protein,SPO_RS18385
SPO3630,ubiA,4-hydroxybenzoate polyprenyl transferase,SPO_RS18390
SPO3631,SPO3631,OmpA domain protein,SPO_RS18395
SPO3632,SPO3632,hypothetical protein,SPO_RS18400
SPO3633,SPO3633,"molybdopterin converting factor, subunit 2",SPO_RS18405
SPO3634,moaD,"molybdopterin converting factor, subunit 1",SPO_RS18410
SPO3635,pgsA,CDP-diacylglycerol--glycerol-3-phosphate 3-phosphatidyltransferase,SPO_RS18415
SPO3636,SPO3636,"beta-lactamase, putative",SPO_RS18420
SPO3637,uvrC,UvrABC system protein C,SPO_RS18425
SPO3638,SPO3638,"oxidoreductase, short chain dehydrogenase/reductase family",SPO_RS18430
SPO3639,SPO3639,K+-dependent Na+/Ca+ exchanger related-protein,SPO_RS18435
SPO3640,SPO3640,"peptidase, family S49",SPO_RS18445
SPO3641,SPO3641,"ABC transporter, permease protein",SPO_RS18450
SPO3642,SPO3642,"ABC transporter, ATP-binding protein",SPO_RS18455
SPO3643,SPO3643,integral membrane protein,SPO_RS18465
SPO3644,SPO3644,hypothetical protein,SPO_RS18470
SPO3645,SPO3645,"transcriptional regulator, putative",SPO_RS18475
SPO3646,SPO3646,enoyl-CoA hydratase/isomerase family protein,SPO_RS18480
SPO3647,SPO3647,CAIB/BAIF family protein,SPO_RS18485
SPO3648,hemE,uroporphyrinogen decarboxylase,SPO_RS18490
SPO3649,hemC,porphobilinogen deaminase,SPO_RS18495
SPO3650,SPO3650,adenylate/guanylate cyclase,SPO_RS18500
SPO3651,SPO3651,fatty acid desaturase family protein,SPO_RS18505
SPO3652,SPO3652,hypothetical protein,
SPO3653,hemF,"coproporphyrinogen III oxidase, aerobic",SPO_RS18515
SPO3654,SPO3654,"7-alpha-hydroxysteroid dehydrogenase, putative",SPO_RS18520
SPO3655,SPO3655,"methyltransferase, putative",SPO_RS18525
SPO3656,clpS,"ATP-dependent Clp protease, adaptor protein ClpS",SPO_RS18530
SPO3657,SPO3657,"hydrolase, haloacid dehalogenase-like family",SPO_RS18535
SPO3658,SPO3658,D-alanyl-D-alanine carboxypeptidase family protein,SPO_RS18540
SPO3659,pxpA,5-oxoprolinase subunit A (5-OPase subunit A) ,SPO_RS18545
SPO3660,SPO3660,urea amidolyase-like protein,SPO_RS18550
SPO3661,SPO3661,allophanate hydrolase family protein,SPO_RS18555
SPO3662,SPO3662,hypothetical protein,SPO_RS18560
SPO3663,SPO3663,"TRAP dicarboxylate family transporter, DctM subunit",SPO_RS18565
SPO3664,SPO3664,hypothetical protein,SPO_RS18570
SPO3665,SPO3665,"bacterial extracellular solute-binding protein, family 7",SPO_RS18575
SPO3666,SPO3666,"oxidoreductase, FAD-binding protein",SPO_RS18580
SPO3667,catB,muconate cycloisomerase I,SPO_RS18585
SPO3668,SPO3668,"transcriptional regulator, LysR family",SPO_RS18590
SPO3671,SPO3671,multicopper oxidase domain protein,SPO_RS18600
SPO3672,SPO3672,hypothetical protein,SPO_RS18605
SPO3673,SPO3673,type I secretion target repeat protein,SPO_RS22625
SPO3673a,SPO3673a,hypothetical protein,SPO_RS22970
SPO3674,SPO3674,"ISSpo7, transposase",SPO_RS22630
SPO3675,SPO3675,hypothetical protein,SPO_RS18645
SPO3676,argE-2,acetylornithine deacetylase,SPO_RS18650
SPO3677,SPO3677,"transcriptional regulator, LysR family",SPO_RS18655
SPO3678,SPO3678,Rieske 2Fe-2S domain protein,SPO_RS18660
SPO3679,SPO3679,hypothetical protein,SPO_RS18665
SPO3680,SPO3680,endoribonuclease L-PSP family protein,SPO_RS18670
SPO3681,SPO3681,Rieske 2Fe-2S domain protein,SPO_RS18675
SPO3682,SPO3682,hypothetical protein,SPO_RS18680
SPO3684,SPO3684,"transcriptional regulator, LacI family",SPO_RS18690
SPO3685,SPO3685,hypothetical protein,SPO_RS18695
SPO3686,SPO3686,HpcH/HpaI aldolase family protein,SPO_RS18700
SPO3687,SPO3687,"decarboxylase, pyridoxal-dependent",SPO_RS18705
SPO3688,SPO3688,extradiol ring-cleavage dioxygenase family protein,SPO_RS18710
SPO3689,SPO3689,"transcriptional regulator, MarR family",SPO_RS18715
SPO3690,gtdA-1,"gentisate 1,2-dioxygenase",SPO_RS18720
SPO3691,SPO3691,fumarylacetoacetate hydrolase family protein,SPO_RS18725
SPO3692,SPO3692,"monooxygenase, putative",SPO_RS18730
SPO3693,SPO3693,"TRAP dicarboxylate transporter, DctP subunit; possibly ferulate",SPO_RS18735
SPO3694,SPO3694,TRAP dicarboxylate transporter; possibly ferulate,SPO_RS18740
SPO3695,SPO3695,"TRAP dicarboxylate transporter, DctM subunit; possibly ferulate",SPO_RS18745
SPO3696,fcs,feruloyl-CoA synthetase,SPO_RS18750
SPO3697,badA-1,benzoate-coenzyme A ligase,SPO_RS18755
SPO3698,SPO3698,"hydrolase, putative",SPO_RS18760
SPO3699,SPO3699,hypothetical protein,SPO_RS22325
SPO3700,SPO3700,enoyl-CoA hydratase/isomerase family protein,SPO_RS18770
SPO3701,boxB,"benzoyl-CoA oxygenase, B subunit",SPO_RS18775
SPO3702,SPO3702,hypothetical protein,SPO_RS23135
SPO3703,boxA,"benzoyl-CoA oxygenase, A subunit",SPO_RS18785
SPO3704,SPO3704,DNA-binding/shikimate kinase domain protein,SPO_RS18790
SPO3705,SPO3705,"branched-chain amino acid ABC transporter, periplasmic branched-chain amino acid-binding protein",SPO_RS18795
SPO3706,SPO3706,"branched-chain amino acid ABC transporter, ATP-binding protein",SPO_RS18800
SPO3707,SPO3707,"branched-chain amino acid ABC transporter, ATP-binding protein",SPO_RS18805
SPO3708,SPO3708,"branched-chain amino acid ABC transporter, permease protein",SPO_RS18810
SPO3709,SPO3709,"branched-chain amino acid ABC transporter, permease protein",SPO_RS18815
SPO3710,SPO3710,hypothetical protein,SPO_RS18820
SPO3711,SPO3711,hypothetical protein,SPO_RS18825
SPO3712,asd,aspartate-semialdehyde dehydrogenase,SPO_RS18830
SPO3713,SPO3713,hypothetical protein,SPO_RS18845
SPO3714,SPO3714,hypothetical protein,SPO_RS18850
SPO3715,SPO3715,"carbonic anhydrase, putative",SPO_RS18855
SPO3716,SPO3716,hypothetical protein,SPO_RS18860
SPO3717,SPO3717,cytosol aminopeptidase family protein,SPO_RS18865
SPO3718,SPO3718,NLP/P60 family protein,SPO_RS18870
SPO3719,SPO3719,"thiosulfate sulfurtransferase, putative",SPO_RS18875
SPO3720,tyrB,aromatic amino acid aminotransferase,SPO_RS18880
SPO3721,SPO3721,hypothetical protein,SPO_RS18885
SPO3722,SPO3722,Rrf2 family protein,SPO_RS18890
SPO3723,amt-2,ammonium transporter,SPO_RS18895
SPO3724,glnB-2,nitrogen regulatory protein P-II,SPO_RS18900
SPO3725,SPO3725,"penicillin-binding protein, 1A family",SPO_RS18905
SPO3726,SPO3726,toluene tolerance family protein,SPO_RS18910
SPO3727,SPO3727,"VacJ lipoprotein, putative",SPO_RS18915
SPO3728,SPO3728,type I secretion system ATPase,SPO_RS18920
SPO3729,SPO3729,"type I secretion membrane fusion protein, HlyD family",SPO_RS18925
SPO3730,SPO3730,endoribonuclease L-PSP family protein,SPO_RS18930
SPO3731,SPO3731,"glycerophosphoryl diester phosphodiesterase, putative",SPO_RS18935
SPO3732,SPO3732,hypothetical protein,SPO_RS18940
SPO3733,phhB,4a-hydroxytetrahydrobiopterin dehydratase,SPO_RS18945
SPO3734,SPO3734,"transcriptional regulator, MerR family",SPO_RS18950
SPO3735,SPO3735,major facilitator family protein,SPO_RS18955
SPO3736,SPO3736,"antioxidant, AhpC/Tsa family",SPO_RS18960
SPO3737,SPO3737,pyridine nucleotide-disulfide oxidoreductase family protein,SPO_RS18965
SPO3738,SPO3738,"methyltransferase, putative",SPO_RS18970
SPO3739,SPO3739,hydantoinase/oxoprolinase family protein,SPO_RS18975
SPO3740,msrA-2,methionine-S-sulfoxide reductase,SPO_RS18980
SPO3741,msrB,methionine-R-sulfoxide reductase,SPO_RS18985
SPO3742,SPO3742,glutathione peroxidase family protein,SPO_RS18990
SPO3743,SPO3743,hypothetical protein,SPO_RS18995
SPO3744,hup,DNA-binding protein HU,SPO_RS19000
SPO3745,amn,AMP nucleosidase,SPO_RS19005
SPO3746,ade,adenine deaminase,SPO_RS19010
SPO3747,SPO3747,hypothetical protein,SPO_RS19015
SPO3748,SPO3748,"transcriptional regulator, LysR family",SPO_RS19020
SPO3749,SPO3749,class II aldolase/adducin N-terminal domain protein,SPO_RS19025
SPO3750,SPO3750,hypothetical protein,SPO_RS19030
SPO3751,exsB,ExsB,SPO_RS19035
SPO3752,SPO3752,radical SAM domain protein,SPO_RS19045
SPO3753,queF,NADPH-dependent 7-cyano-7-deazaguanine reductase (EC 1.7.1.13) ,SPO_RS19050
SPO3754,SPO3754,hypothetical protein,SPO_RS19055
SPO3755,SPO3755,hypothetical protein,SPO_RS19060
SPO3756,SPO3756,OmpA domain protein,SPO_RS19065
SPO3757,SPO3757,alkylhydroperoxidase AhpD family core domain protein,SPO_RS19070
